Date,USD,GBP,EURO
2020-05-24,17.0,13.95,15.59
2020-05-17,16.25,13.32,15.03
2020-05-10,14.98,12.11,13.88
2020-05-03,14.845,11.83,13.52
2020-04-26,15.315,12.4,14.2
2020-04-19,15.16,12.18,13.99
2020-04-12,15.175,12.2,13.97
2020-04-05,14.39,11.73,13.32
2020-03-29,14.315,11.71,13.01
2020-03-22,12.63,10.75,11.8
2020-03-15,15.77,12.6,14.14
2020-03-08,17.48,13.44,15.43
2020-03-01,17.185,13.34,15.63
2020-02-23,18.56,14.34,17.18
2020-02-16,17.705,13.59,16.34
2020-02-09,17.77,13.74,16.23
2020-02-02,17.885,13.62,16.21
2020-01-26,17.83,13.63,16.16
2020-01-19,18.06,13.85,16.25
2020-01-12,17.915,13.7,16.15
2020-01-05,18.21,13.95,16.36
2019-12-29,17.825,13.62,15.99
2019-12-22,17.035,13.09,15.35
2019-12-15,16.935,12.65,15.15
2019-12-08,16.94,12.9,15.27
2019-12-01,16.965,13.15,15.43
2019-11-24,17.175,13.34,15.52
2019-11-17,16.87,13.1,15.29
2019-11-10,16.81,13.13,15.24
2019-11-03,18.12,13.98,16.24
2019-10-27,18.125,14.12,16.31
2019-10-20,17.435,13.53,15.66
2019-10-13,17.6,14.01,15.95
2019-10-06,17.605,14.27,16.02
2019-09-29,17.52,14.24,16.02
2019-09-22,17.88,14.3,16.19
2019-09-15,18.145,14.57,16.36
2019-09-08,18.145,14.75,16.45
2019-09-01,18.385,15.1,16.65
2019-08-25,17.05,13.96,15.42
2019-08-18,17.16,14.11,15.49
2019-08-11,17.0,14.07,15.18
2019-08-04,16.195,13.37,14.59
2019-07-28,16.44,13.23,14.77
2019-07-21,16.315,13.01,14.52
2019-07-14,15.14,12.08,13.45
2019-07-07,15.21,12.12,13.51
2019-06-30,15.22,12.0,13.37
2019-06-23,15.29,12.08,13.52
2019-06-16,15.025,11.89,13.35
2019-06-09,14.91,11.73,13.24
2019-06-02,14.48,11.51,12.99
2019-05-26,14.55,11.46,13.01
2019-05-19,14.48,11.35,12.97
2019-05-12,14.795,11.36,13.17
2019-05-05,14.655,11.28,13.14
2019-04-28,15.0,11.62,13.47
2019-04-21,14.955,11.5,13.29
2019-04-14,15.065,11.51,13.31
2019-04-07,15.195,11.63,13.53
2019-03-31,15.1,11.52,13.45
2019-03-24,15.46,11.75,13.68
2019-03-17,15.355,11.58,13.56
2019-03-10,15.115,11.56,13.48
2019-03-03,15.56,11.75,13.67
2019-02-24,15.87,12.2,14.0
2019-02-17,15.675,12.23,13.9
2019-02-10,15.78,12.18,13.92
2019-02-03,16.01,12.26,13.96
2019-01-27,15.375,11.74,13.55
2019-01-20,15.47,11.96,13.56
2019-01-13,15.68,12.23,13.6
2019-01-06,15.705,12.4,13.76
2018-12-30,15.295,12.05,13.34
2018-12-23,14.69,11.59,12.86
2018-12-16,14.58,11.61,12.92
2018-12-09,14.485,11.34,12.73
2018-12-02,14.235,11.16,12.52
2018-11-25,14.255,11.12,12.56
2018-11-18,14.285,11.15,12.61
2018-11-11,14.34,11.01,12.63
2018-11-04,14.82,11.38,12.95
2018-10-28,14.69,11.48,12.94
2018-10-21,14.61,11.21,12.75
2018-10-14,14.6,11.04,12.6
2018-10-07,14.635,11.23,12.73
2018-09-30,14.305,10.97,12.35
