Date,Price,Open,High,Low,Vol.,Change %
2019/12/22,"6,821.70","6,816.30","6,822.10","6,776.20",855.74M,0.08%
2019/12/15,"6,816.30","6,741.60","6,872.80","6,741.60",3.71B,1.14%
2019/12/8,"6,739.70","6,707.00","6,753.10","6,701.20",2.89B,0.49%
2019/12/1,"6,707.00","6,846.00","6,890.00","6,590.10",3.03B,-2.03%
2019/11/24,"6,846.00","6,712.00","6,893.70","6,712.00",3.27B,2.03%
2019/11/17,"6,709.80","6,793.70","6,814.20","6,637.30",2.89B,-1.23%
2019/11/10,"6,793.70","6,724.10","6,798.70","6,687.70",3.02B,1.04%
2019/11/3,"6,724.10","6,669.10","6,742.20","6,658.20",2.92B,0.82%
2019/10/27,"6,669.10","6,739.90","6,766.20","6,634.70",2.86B,-1.04%
2019/10/20,"6,739.20","6,649.70","6,741.50","6,612.40",2.83B,1.35%
2019/10/13,"6,649.70","6,606.80","6,737.80","6,606.80",3.18B,0.65%
2019/10/6,"6,606.80","6,517.10","6,614.60","6,517.10",2.33B,1.38%
2019/9/29,"6,517.10","6,715.90","6,743.70","6,475.40",3.02B,-2.96%
2019/9/22,"6,716.10","6,730.80","6,770.00","6,667.10",2.96B,-0.22%
2019/9/15,"6,730.80","6,669.20","6,775.60","6,646.60",4.50B,0.92%
2019/9/8,"6,669.20","6,647.30","6,687.40","6,595.70",3.44B,0.33%
2019/9/1,"6,647.30","6,604.20","6,656.10","6,503.90",3.20B,0.65%
2019/8/25,"6,604.20","6,523.10","6,612.10","6,409.80",3.96B,1.24%
2019/8/18,"6,523.10","6,405.50","6,545.00","6,405.50",3.25B,1.84%
2019/8/11,"6,405.50","6,584.40","6,600.70","6,396.00",3.59B,-2.72%
2019/8/4,"6,584.40","6,768.60","6,768.60","6,444.40",3.48B,-2.72%
2019/7/28,"6,768.60","6,793.40","6,875.50","6,747.80",3.09B,-0.37%
2019/7/21,"6,793.40","6,700.30","6,818.00","6,673.20",3.14B,1.39%
