Date,Price,Open,High,Low,Vol.,Change %
2019/12/27,"1,617.40","1,609.40","1,617.40","1,602.20",42.34M,0.50%
2019/12/24,"1,609.40","1,603.00","1,609.40","1,598.30",26.42M,0.40%
2019/12/23,"1,603.00","1,604.40","1,609.60","1,599.70",54.51M,-0.09%
2019/12/20,"1,604.40","1,607.40","1,619.80","1,604.40",146.16M,-0.19%
2019/12/19,"1,607.40","1,600.70","1,612.50","1,597.40",117.67M,0.42%
2019/12/18,"1,600.70","1,607.20","1,609.00","1,600.10",83.01M,-0.40%
2019/12/17,"1,607.20","1,604.40","1,619.20","1,604.10",73.98M,0.17%
2019/12/16,"1,604.40","1,572.90","1,607.30","1,572.90",91.62M,2.00%
2019/12/13,"1,572.90","1,609.00","1,610.30","1,571.60",97.50M,-2.24%
2019/12/12,"1,609.00","1,629.20","1,629.90","1,604.50",83.69M,-1.24%
2019/12/11,"1,629.20","1,635.80","1,636.00","1,617.70",94.69M,-0.40%
2019/12/10,"1,635.80","1,650.50","1,651.10","1,634.30",76.02M,-0.89%
2019/12/9,"1,650.50","1,642.20","1,650.50","1,640.70",59.75M,0.51%
2019/12/6,"1,642.20","1,633.40","1,645.80","1,633.40",48.74M,0.54%
2019/12/5,"1,633.40","1,609.00","1,633.40","1,609.00",92.99M,1.52%
2019/12/4,"1,609.00","1,625.90","1,626.00","1,606.30",83.14M,-1.04%
2019/12/3,"1,625.90","1,671.30","1,671.30","1,625.00",92.09M,-2.72%
2019/12/2,"1,671.30","1,667.40","1,678.80","1,662.30",51.52M,0.23%
2019/11/29,"1,667.40","1,664.20","1,678.30","1,664.20",51.24M,0.19%
2019/11/28,"1,664.20","1,668.20","1,676.40","1,661.10",59.76M,-0.24%
2019/11/27,"1,668.20","1,647.30","1,669.20","1,647.30",68.75M,1.27%
2019/11/26,"1,647.30","1,636.40","1,651.10","1,636.20",132.82M,0.67%
2019/11/25,"1,636.40","1,624.60","1,638.80","1,624.60",57.54M,0.73%
2019/11/22,"1,624.60","1,626.90","1,634.30","1,618.50",58.31M,-0.14%
2019/11/21,"1,626.90","1,630.20","1,631.30","1,618.80",89.56M,-0.20%
2019/11/20,"1,630.20","1,659.90","1,660.00","1,627.70",62.21M,-1.79%
2019/11/19,"1,659.90","1,639.80","1,659.90","1,639.70",64.75M,1.23%
2019/11/18,"1,639.80","1,650.90","1,651.80","1,631.30",51.30M,-0.67%
2019/11/15,"1,650.90","1,629.00","1,655.60","1,629.00",65.61M,1.34%
2019/11/14,"1,629.00","1,611.40","1,629.00","1,611.40",69.62M,1.09%
2019/11/13,"1,611.40","1,626.30","1,633.70","1,609.70",69.11M,-0.92%
2019/11/12,"1,626.30","1,630.30","1,639.00","1,621.70",63.28M,-0.25%
2019/11/11,"1,630.30","1,609.00","1,630.30","1,609.00",90.85M,1.32%
2019/11/8,"1,609.00","1,634.40","1,634.40","1,603.90",142.00M,-1.55%
2019/11/7,"1,634.40","1,620.20","1,637.90","1,620.20",68.95M,0.88%
2019/11/6,"1,620.20","1,632.50","1,636.30","1,616.10",72.21M,-0.75%
2019/11/5,"1,632.50","1,636.20","1,645.40","1,628.70",61.73M,-0.23%
2019/11/4,"1,636.20","1,638.40","1,648.90","1,630.80",57.11M,-0.13%
2019/11/1,"1,638.40","1,629.80","1,645.60","1,625.80",72.00M,0.53%
2019/10/31,"1,629.80","1,634.10","1,646.70","1,629.20",97.19M,-0.26%
2019/10/30,"1,634.10","1,642.40","1,652.10","1,632.30",92.93M,-0.51%
2019/10/29,"1,642.40","1,637.30","1,645.00","1,629.10",83.99M,0.31%
2019/10/28,"1,637.30","1,646.20","1,649.60","1,637.30",53.65M,-0.54%
2019/10/25,"1,646.20","1,630.80","1,648.30","1,630.80",67.14M,0.94%
2019/10/24,"1,630.80","1,641.50","1,642.80","1,630.20",97.64M,-0.65%
2019/10/23,"1,641.50","1,631.90","1,643.50","1,626.30",75.07M,0.59%
2019/10/22,"1,631.90","1,634.00","1,638.50","1,627.70",87.39M,-0.13%
2019/10/21,"1,634.00","1,615.00","1,643.40","1,610.60",87.18M,1.18%
2019/10/18,"1,615.00","1,625.10","1,625.10","1,609.90",101.94M,-0.62%
2019/10/17,"1,625.10","1,643.50","1,644.90","1,624.60",313.48M,-1.12%
2019/10/16,"1,643.50","1,619.60","1,643.50","1,619.60",82.05M,1.48%
2019/10/15,"1,619.60","1,610.40","1,620.80","1,605.20",52.04M,0.57%
2019/10/14,"1,610.40","1,612.40","1,616.20","1,605.80",48.21M,-0.12%
2019/10/11,"1,612.40","1,611.60","1,614.60","1,602.80",70.04M,0.05%
2019/10/10,"1,611.60","1,621.10","1,621.20","1,606.60",58.48M,-0.59%
2019/10/9,"1,621.10","1,625.80","1,625.80","1,614.80",43.49M,-0.29%
2019/10/8,"1,625.80","1,625.00","1,635.20","1,620.90",51.02M,0.05%
2019/10/7,"1,625.00","1,608.90","1,627.10","1,608.70",34.24M,1.00%
2019/10/4,"1,608.90","1,602.80","1,612.10","1,589.30",55.60M,0.38%
2019/10/3,"1,602.80","1,622.70","1,622.70","1,587.60",76.71M,-1.23%
2019/10/2,"1,622.70","1,629.00","1,633.70","1,620.00",75.30M,-0.39%
2019/10/1,"1,629.00","1,609.80","1,632.00","1,609.80",77.39M,1.19%
2019/9/30,"1,609.80","1,618.00","1,624.40","1,608.20",79.27M,-0.51%
2019/9/27,"1,618.00","1,613.80","1,631.20","1,612.30",68.23M,0.26%
2019/9/26,"1,613.80","1,621.10","1,621.80","1,607.60",76.85M,-0.45%
2019/9/25,"1,621.10","1,615.30","1,632.40","1,614.30",89.78M,0.36%
2019/9/24,"1,615.30","1,615.20","1,619.60","1,608.00",78.23M,0.01%
2019/9/23,"1,615.20","1,604.50","1,622.60","1,604.50",53.15M,0.67%
2019/9/20,"1,604.50","1,608.00","1,628.60","1,604.50",298.22M,-0.22%
2019/9/19,"1,608.00","1,606.60","1,620.50","1,606.50",163.39M,0.09%
2019/9/18,"1,606.60","1,608.20","1,617.60","1,599.20",115.91M,-0.10%
2019/9/17,"1,608.20","1,589.70","1,608.20","1,588.90",89.13M,1.16%
2019/9/16,"1,589.70","1,599.90","1,599.90","1,575.30",95.16M,-0.64%
2019/9/13,"1,599.90","1,604.40","1,610.50","1,595.60",107.90M,-0.28%
2019/9/12,"1,604.40","1,587.20","1,609.50","1,587.00",91.58M,1.08%
2019/9/11,"1,587.20","1,598.90","1,599.10","1,579.50",115.35M,-0.73%
2019/9/10,"1,598.90","1,618.50","1,618.60","1,594.00",94.96M,-1.21%
2019/9/9,"1,618.50","1,611.70","1,624.30","1,611.70",58.59M,0.42%
2019/9/6,"1,611.70","1,632.20","1,632.30","1,602.60",88.22M,-1.26%
2019/9/5,"1,632.20","1,632.40","1,637.90","1,623.40",75.83M,-0.01%
2019/9/4,"1,632.40","1,635.70","1,637.60","1,623.40",73.41M,-0.20%
2019/9/3,"1,635.70","1,640.10","1,643.00","1,622.60",57.54M,-0.27%
2019/9/2,"1,640.10","1,655.70","1,657.00","1,631.20",61.80M,-0.94%
2019/8/30,"1,655.70","1,643.90","1,665.80","1,639.70",96.25M,0.72%
2019/8/29,"1,643.90","1,646.00","1,646.90","1,634.00",64.69M,-0.13%
2019/8/28,"1,646.00","1,642.90","1,656.80","1,642.60",82.59M,0.19%
2019/8/27,"1,642.90","1,646.80","1,650.00","1,638.30",93.85M,-0.24%
2019/8/26,"1,646.80","1,663.00","1,663.00","1,640.00",69.26M,-0.97%
2019/8/23,"1,663.00","1,622.50","1,663.00","1,622.40",71.16M,2.50%
2019/8/22,"1,622.50","1,624.80","1,636.30","1,619.80",56.00M,-0.14%
2019/8/21,"1,624.80","1,648.20","1,648.20","1,617.00",77.72M,-1.42%
2019/8/20,"1,648.20","1,620.90","1,648.20","1,618.00",78.44M,1.68%
2019/8/19,"1,620.90","1,612.20","1,633.30","1,612.10",69.91M,0.54%
2019/8/16,"1,612.20","1,610.00","1,620.60","1,604.70",73.54M,0.14%
2019/8/15,"1,610.00","1,637.80","1,637.80","1,604.60",85.42M,-1.70%
2019/8/14,"1,637.80","1,651.90","1,653.40","1,625.80",72.21M,-0.85%
2019/8/13,"1,651.90","1,659.60","1,665.50","1,646.30",68.48M,-0.46%
2019/8/12,"1,659.60","1,658.70","1,661.90","1,650.80",53.89M,0.05%
2019/8/9,"1,658.70","1,665.00","1,667.10","1,640.30",57.66M,-0.38%
2019/8/8,"1,665.00","1,639.40","1,665.00","1,629.00",96.03M,1.56%
2019/8/7,"1,639.40","1,613.20","1,643.40","1,605.70",71.48M,1.62%
2019/8/6,"1,613.20","1,674.60","1,674.60","1,613.20",93.74M,-3.67%
2019/8/5,"1,674.60","1,686.40","1,697.40","1,673.30",63.92M,-0.70%
2019/8/2,"1,686.40","1,652.30","1,687.80","1,652.30",65.12M,2.06%
2019/8/1,"1,652.30","1,644.20","1,653.50","1,638.10",81.43M,0.49%
2019/7/31,"1,644.20","1,652.90","1,655.50","1,643.80",112.94M,-0.53%
2019/7/30,"1,652.90","1,643.70","1,662.00","1,643.60",80.37M,0.56%
2019/7/29,"1,643.70","1,658.50","1,661.10","1,641.60",82.38M,-0.89%
2019/7/26,"1,658.50","1,662.70","1,663.50","1,651.20",69.89M,-0.25%
2019/7/25,"1,662.70","1,661.80","1,672.80","1,659.30",69.72M,0.05%
2019/7/24,"1,661.80","1,649.60","1,670.60","1,649.60",63.01M,0.74%
2019/7/23,"1,649.60","1,635.50","1,649.60","1,632.00",79.94M,0.86%
2019/7/22,"1,635.50","1,658.30","1,658.30","1,631.20",60.18M,-1.37%
2019/7/19,"1,658.30","1,655.10","1,660.90","1,642.30",54.44M,0.19%
2019/7/18,"1,655.10","1,654.40","1,662.90","1,648.20",66.84M,0.04%
2019/7/17,"1,654.40","1,658.90","1,664.60","1,650.60",67.85M,-0.27%
2019/7/16,"1,658.90","1,646.30","1,667.30","1,646.30",86.38M,0.77%
2019/7/15,"1,646.30","1,668.30","1,669.20","1,646.20",46.67M,-1.32%
2019/7/12,"1,668.30","1,680.00","1,680.20","1,661.70",75.51M,-0.70%
2019/7/11,"1,680.00","1,676.60","1,686.20","1,674.60",98.83M,0.20%
2019/7/10,"1,676.60","1,672.90","1,693.40","1,672.90",109.40M,0.22%
2019/7/9,"1,672.90","1,671.70","1,681.40","1,664.10",93.14M,0.07%
2019/7/8,"1,671.70","1,712.40","1,712.40","1,670.70",58.72M,-2.38%
2019/7/5,"1,712.40","1,680.40","1,715.80","1,680.40",93.34M,1.90%
2019/7/4,"1,680.40","1,661.40","1,685.20","1,661.40",93.60M,1.14%
2019/7/3,"1,661.40","1,629.90","1,664.80","1,629.90",92.75M,1.93%
2019/7/2,"1,629.90","1,623.20","1,634.00","1,622.30",95.79M,0.41%
2019/7/1,"1,623.20","1,604.80","1,633.30","1,604.80",83.28M,1.15%
2019/6/28,"1,604.80","1,626.30","1,628.80","1,604.80",113.61M,-1.32%
2019/6/27,"1,626.30","1,662.80","1,662.80","1,618.00",185.24M,-2.20%
2019/6/26,"1,662.80","1,676.80","1,676.80","1,662.10",128.21M,-0.83%
2019/6/25,"1,676.80","1,665.80","1,682.00","1,653.50",98.90M,0.66%
2019/6/24,"1,665.80","1,643.40","1,665.80","1,635.80",66.62M,1.36%
2019/6/21,"1,643.40","1,643.50","1,645.20","1,634.90",162.23M,-0.01%
2019/6/20,"1,643.50","1,642.90","1,646.70","1,635.50",129.35M,0.04%
2019/6/19,"1,642.90","1,645.10","1,646.00","1,630.40",72.44M,-0.13%
2019/6/18,"1,645.10","1,619.40","1,645.10","1,616.70",112.07M,1.59%
2019/6/17,"1,619.40","1,633.80","1,639.00","1,618.30",64.18M,-0.88%
2019/6/14,"1,633.80","1,630.40","1,639.30","1,629.00",51.72M,0.21%
2019/6/13,"1,630.40","1,623.50","1,632.50","1,613.50",66.73M,0.43%
2019/6/12,"1,623.50","1,634.90","1,640.80","1,623.50",60.35M,-0.70%
2019/6/11,"1,634.90","1,620.10","1,638.20","1,620.00",75.22M,0.91%
2019/6/7,"1,620.10","1,602.10","1,620.10","1,596.20",56.00M,1.12%
2019/6/6,"1,602.10","1,567.40","1,604.20","1,567.40",98.71M,2.21%
2019/6/5,"1,567.40","1,589.20","1,592.10","1,567.40",85.45M,-1.37%
2019/6/4,"1,589.20","1,575.80","1,595.60","1,575.80",107.27M,0.85%
2019/6/3,"1,575.80","1,564.70","1,588.90","1,564.60",67.85M,0.71%
2019/5/31,"1,564.70","1,557.50","1,571.20","1,554.80",68.42M,0.46%
2019/5/30,"1,557.50","1,587.10","1,587.10","1,556.30",101.28M,-1.87%
2019/5/29,"1,587.10","1,604.20","1,604.20","1,586.40",45.60M,-1.07%
2019/5/28,"1,604.20","1,608.00","1,614.80","1,604.20",112.80M,-0.24%
2019/5/27,"1,608.00","1,610.30","1,612.60","1,604.90",43.54M,-0.14%
2019/5/24,"1,610.30","1,608.20","1,616.60","1,603.20",69.97M,0.13%
2019/5/23,"1,608.20","1,593.90","1,610.40","1,593.90",77.84M,0.90%
2019/5/22,"1,593.90","1,596.20","1,597.80","1,582.50",88.36M,-0.14%
2019/5/21,"1,596.20","1,571.40","1,596.40","1,553.60",92.93M,1.58%
2019/5/20,"1,571.40","1,567.10","1,574.00","1,560.10",71.25M,0.27%
2019/5/17,"1,567.10","1,556.00","1,581.50","1,556.00",61.12M,0.71%
2019/5/16,"1,556.00","1,537.90","1,556.00","1,537.90",68.63M,1.18%
2019/5/15,"1,537.90","1,536.70","1,540.20","1,524.00",71.37M,0.08%
2019/5/14,"1,536.70","1,543.30","1,549.60","1,535.00",60.51M,-0.43%
2019/5/13,"1,543.30","1,521.00","1,545.90","1,521.00",61.78M,1.47%
2019/5/10,"1,521.00","1,513.60","1,525.60","1,513.50",75.04M,0.49%
2019/5/9,"1,513.60","1,505.60","1,515.30","1,498.10",89.74M,0.53%
2019/5/8,"1,505.60","1,507.10","1,507.10","1,490.50",71.37M,-0.10%
2019/5/7,"1,507.10","1,508.40","1,520.00","1,506.90",67.49M,-0.09%
2019/5/6,"1,508.40","1,510.60","1,511.90","1,501.10",64.59M,-0.15%
2019/5/3,"1,510.60","1,517.90","1,524.70","1,509.40",84.10M,-0.48%
2019/5/2,"1,517.90","1,528.70","1,528.70","1,512.10",99.71M,-0.71%
2019/5/1,"1,528.70","1,526.90","1,534.60","1,526.80",62.84M,0.12%
2019/4/30,"1,526.90","1,549.70","1,550.90","1,523.50",106.79M,-1.47%
2019/4/29,"1,549.70","1,577.40","1,577.70","1,545.90",73.32M,-1.76%
2019/4/26,"1,577.40","1,554.90","1,580.20","1,554.60",75.21M,1.45%
2019/4/24,"1,554.90","1,531.60","1,557.90","1,531.60",70.83M,1.52%
2019/4/23,"1,531.60","1,523.70","1,534.20","1,521.80",55.81M,0.52%
2019/4/18,"1,523.70","1,529.60","1,537.00","1,523.20",54.32M,-0.39%
2019/4/17,"1,529.60","1,544.40","1,545.70","1,528.30",58.29M,-0.96%
2019/4/16,"1,544.40","1,545.60","1,546.50","1,536.90",72.54M,-0.08%
2019/4/15,"1,545.60","1,551.60","1,555.80","1,543.20",52.27M,-0.39%
2019/4/12,"1,551.60","1,538.70","1,551.60","1,538.60",54.40M,0.84%
2019/4/11,"1,538.70","1,530.90","1,539.70","1,528.70",58.18M,0.51%
2019/4/10,"1,530.90","1,525.30","1,534.80","1,524.30",59.90M,0.37%
2019/4/9,"1,525.30","1,531.30","1,533.50","1,521.10",47.08M,-0.39%
2019/4/8,"1,531.30","1,517.00","1,533.60","1,517.00",93.50M,0.94%
2019/4/5,"1,517.00","1,537.50","1,537.60","1,516.80",59.67M,-1.33%
2019/4/4,"1,537.50","1,561.50","1,561.70","1,533.80",81.57M,-1.54%
2019/4/3,"1,561.50","1,550.70","1,570.00","1,550.70",97.02M,0.70%
2019/4/2,"1,550.70","1,555.60","1,558.30","1,549.40",88.09M,-0.31%
2019/4/1,"1,555.60","1,567.00","1,573.60","1,552.60",66.87M,-0.73%
2019/3/29,"1,567.00","1,575.50","1,579.00","1,567.00",91.62M,-0.54%
2019/3/28,"1,575.50","1,575.20","1,575.50","1,567.40",61.18M,0.02%
2019/3/27,"1,575.20","1,575.60","1,577.40","1,564.60",80.63M,-0.03%
2019/3/26,"1,575.60","1,562.40","1,580.50","1,562.40",81.42M,0.84%
2019/3/25,"1,562.40","1,557.20","1,565.30","1,555.30",70.63M,0.33%
2019/3/22,"1,557.20","1,547.50","1,562.00","1,547.50",49.75M,0.63%
2019/3/21,"1,547.50","1,552.60","1,554.50","1,543.10",97.13M,-0.33%
2019/3/20,"1,552.60","1,547.00","1,555.70","1,544.90",72.17M,0.36%
2019/3/19,"1,547.00","1,547.60","1,553.70","1,540.80",57.02M,-0.04%
2019/3/18,"1,547.60","1,544.00","1,547.70","1,538.80",68.82M,0.23%
2019/3/15,"1,544.00","1,534.00","1,553.50","1,533.90",234.75M,0.65%
2019/3/14,"1,534.00","1,532.80","1,534.60","1,527.00",82.86M,0.08%
2019/3/13,"1,532.80","1,532.40","1,532.80","1,521.20",87.53M,0.03%
2019/3/12,"1,532.40","1,531.00","1,540.30","1,528.70",96.61M,0.09%
2019/3/11,"1,531.00","1,533.60","1,537.20","1,528.00",53.93M,-0.17%
