date, value,,,,,
1946/1/1,29.9145,,,,,
1946/2/1,29.9145,,,,,
1946/3/1,29.9145,,,,,
1946/4/1,27.5591,,,,,
1946/5/1,27.5591,,,,,
1946/6/1,27.5591,,,,,Macrotrends Data Download
1946/7/1,27.5591,,,,,
1946/8/1,23.0263,,,,,Gold to Oil Ratio - Historical Chart
1946/9/1,23.0263,,,,,
1946/10/1,23.0263,,,,,"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY"
1946/11/1,23.0263,,,,,FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
1946/12/1,21.6049,,,,,NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
1947/1/1,21.6049,,,,,FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.
1947/2/1,21.6049,,,,,
1947/3/1,21.6049,,,,,
1947/4/1,18.7166,,,,,
1947/5/1,18.7166,,,,,"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
1947/6/1,18.7166,,,,,"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."
1947/7/1,18.7166,,,,,
1947/8/1,18.7166,,,,,
1947/9/1,18.7166,,,,,
1947/10/1,18.7166,,,,,
1947/11/1,16.9082,,,,,
1947/12/1,16.9082,,,,,
1948/1/1,13.6187,,,,,
1948/2/1,13.6187,,,,,
1948/3/1,13.6187,,,,,
1948/4/1,13.6187,,,,,
1948/5/1,13.6187,,,,,
1948/6/1,13.6187,,,,,
1948/7/1,13.6187,,,,,
1948/8/1,13.6187,,,,,
1948/9/1,13.6187,,,,,
1948/10/1,13.6187,,,,,
1948/11/1,13.6187,,,,,
1948/12/1,13.6187,,,,,
1949/1/1,12.4047,,,,,
1949/2/1,12.4047,,,,,
1949/3/1,12.4047,,,,,
1949/4/1,12.4047,,,,,
1949/5/1,12.4047,,,,,
1949/6/1,12.4047,,,,,
1949/7/1,12.4047,,,,,
1949/8/1,12.4047,,,,,
1949/9/1,12.4047,,,,,
1949/10/1,12.4047,,,,,
1949/11/1,12.4047,,,,,
1949/12/1,12.4047,,,,,
1950/1/1,13.6187,,,,,
1950/2/1,13.6187,,,,,
1950/3/1,13.6187,,,,,
1950/4/1,13.6187,,,,,
1950/5/1,13.6187,,,,,
1950/6/1,13.6187,,,,,
1950/7/1,13.6187,,,,,
1950/8/1,13.6187,,,,,
1950/9/1,13.6187,,,,,
1950/10/1,13.6187,,,,,
1950/11/1,13.6187,,,,,
1950/12/1,13.6187,,,,,
1951/1/1,13.6187,,,,,
1951/2/1,13.6187,,,,,
1951/3/1,13.6187,,,,,
1951/4/1,13.6187,,,,,
1951/5/1,13.6187,,,,,
1951/6/1,13.6187,,,,,
1951/7/1,13.6187,,,,,
1951/8/1,13.6187,,,,,
1951/9/1,13.6187,,,,,
1951/10/1,13.6187,,,,,
1951/11/1,13.6187,,,,,
1951/12/1,13.6187,,,,,
1952/1/1,13.4981,,,,,
1952/2/1,13.4981,,,,,
1952/3/1,13.4981,,,,,
1952/4/1,13.4981,,,,,
1952/5/1,13.4981,,,,,
1952/6/1,13.4981,,,,,
1952/7/1,13.4981,,,,,
1952/8/1,13.4981,,,,,
1952/9/1,13.4981,,,,,
1952/10/1,13.4981,,,,,
1952/11/1,13.4981,,,,,
1952/12/1,13.4981,,,,,
1953/1/1,13.6187,,,,,
1953/2/1,13.6187,,,,,
1953/3/1,13.6187,,,,,
1953/4/1,13.6187,,,,,
1953/5/1,13.6187,,,,,
1953/6/1,12.4113,,,,,
1953/7/1,12.4113,,,,,
1953/8/1,12.4113,,,,,
1953/9/1,12.4113,,,,,
1953/10/1,12.4113,,,,,
1953/11/1,12.4113,,,,,
1953/12/1,12.4113,,,,,
1954/1/1,12.5213,,,,,
1954/2/1,12.5213,,,,,
1954/3/1,12.5213,,,,,
1954/4/1,12.5213,,,,,
1954/5/1,12.5213,,,,,
1954/6/1,12.5213,,,,,
1954/7/1,12.5213,,,,,
1954/8/1,12.5213,,,,,
1954/9/1,12.5213,,,,,
1954/10/1,12.5213,,,,,
1954/11/1,12.5213,,,,,
1954/12/1,12.5213,,,,,
1955/1/1,12.5213,,,,,
1955/2/1,12.5213,,,,,
1955/3/1,12.5213,,,,,
1955/4/1,12.5213,,,,,
1955/5/1,12.5213,,,,,
1955/6/1,12.5213,,,,,
1955/7/1,12.5213,,,,,
1955/8/1,12.5213,,,,,
1955/9/1,12.5213,,,,,
1955/10/1,12.5213,,,,,
1955/11/1,12.5213,,,,,
1955/12/1,12.5213,,,,,
1956/1/1,12.5213,,,,,
1956/2/1,12.5213,,,,,
1956/3/1,12.5213,,,,,
1956/4/1,12.5213,,,,,
1956/5/1,12.5213,,,,,
1956/6/1,12.5213,,,,,
1956/7/1,12.5213,,,,,
1956/8/1,12.5213,,,,,
1956/9/1,12.5213,,,,,
1956/10/1,12.5213,,,,,
1956/11/1,12.5213,,,,,
1956/12/1,12.5213,,,,,
1957/1/1,12.4113,,,,,
1957/2/1,11.4007,,,,,
1957/3/1,11.4007,,,,,
1957/4/1,11.4007,,,,,
1957/5/1,11.4007,,,,,
1957/6/1,11.4007,,,,,
1957/7/1,11.4007,,,,,
1957/8/1,11.4007,,,,,
1957/9/1,11.4007,,,,,
1957/10/1,11.4007,,,,,
1957/11/1,11.4007,,,,,
1957/12/1,11.6667,,,,,
