Date,LBMA_Gold_USD
1968-01-02,
1968-01-03,
1968-01-04,
1968-01-05,
1968-01-08,
1968-01-09,
1968-01-10,
1968-01-11,
1968-01-12,
1968-01-15,
1968-01-16,
1968-01-17,
1968-01-18,
1968-01-19,
1968-01-22,
1968-01-23,
1968-01-24,
1968-01-25,
1968-01-26,
1968-01-29,
1968-01-30,
1968-01-31,
1968-02-01,
1968-02-02,
1968-02-05,
1968-02-06,
1968-02-07,
1968-02-08,
1968-02-09,
1968-02-12,
1968-02-13,
1968-02-14,
1968-02-15,
1968-02-16,
1968-02-19,
1968-02-20,
1968-02-21,
1968-02-22,
1968-02-23,
1968-02-26,
1968-02-27,
1968-02-28,
1968-02-29,
1968-03-01,
1968-03-04,
1968-03-05,
1968-03-06,
1968-03-07,
1968-03-08,
1968-03-11,
1968-03-12,
1968-03-13,
1968-03-14,
1968-04-01,37.85
1968-04-02,37.45
1968-04-03,37.650000000000006
1968-04-04,36.825
1968-04-05,37.1
1968-04-08,37.025
1968-04-09,37.375
1968-04-10,37.650000000000006
1968-04-11,38.025
1968-04-16,38.05
1968-04-17,37.9
1968-04-18,37.575
1968-04-19,37.65
1968-04-22,38.15
1968-04-23,38.224999999999994
1968-04-24,38.3
1968-04-25,38.275
1968-04-26,38.575
1968-04-29,38.65
1968-04-30,39.1
1968-05-01,39.150000000000006
1968-05-02,39.35
1968-05-03,39.35
1968-05-06,39.725
1968-05-07,39.3
1968-05-08,39.625
1968-05-09,39.7
1968-05-10,39.7
1968-05-13,39.45
1968-05-14,39.7
1968-05-15,40.175
1968-05-16,41.05
1968-05-17,41.55
1968-05-20,42.15
1968-05-21,42.5
1968-05-22,41.875
1968-05-23,41.45
1968-05-24,41.75
1968-05-27,41.5
1968-05-28,41.55
1968-05-29,41.55
1968-05-30,41.85
1968-05-31,41.975
1968-06-04,41.175
1968-06-05,41.3
1968-06-06,41.225
1968-06-07,41.225
1968-06-10,41.325
1968-06-11,41.425
1968-06-12,42.0
1968-06-13,41.349999999999994
1968-06-14,40.6
1968-06-17,40.8
1968-06-18,40.900000000000006
1968-06-19,41.4
1968-06-20,41.075
1968-06-21,41.05
1968-06-24,40.974999999999994
1968-06-25,40.900000000000006
1968-06-26,40.900000000000006
1968-06-27,40.849999999999994
1968-06-28,40.925
1968-07-01,40.849999999999994
1968-07-02,40.875
1968-07-03,40.974999999999994
1968-07-04,41.099999999999994
1968-07-05,41.05
1968-07-08,40.900000000000006
1968-07-09,40.2
1968-07-10,40.125
1968-07-11,39.25
1968-07-12,39.2
1968-07-15,39.175
1968-07-16,38.7
1968-07-17,37.775
1968-07-18,38.0
1968-07-19,38.900000000000006
1968-07-22,38.625
1968-07-23,38.825
1968-07-24,39.2
1968-07-25,39.0
1968-07-26,38.825
1968-07-29,39.0
1968-07-30,39.05
1968-07-31,38.875
1968-08-01,38.849999999999994
1968-08-02,38.825
1968-08-05,38.900000000000006
1968-08-06,38.775000000000006
1968-08-07,38.75
1968-08-08,38.5
1968-08-09,38.5
1968-08-12,38.6
1968-08-13,38.825
1968-08-14,38.95
1968-08-15,39.075
1968-08-16,39.125
1968-08-19,39.15
1968-08-20,39.45
1968-08-21,40.15
1968-08-22,39.7
1968-08-23,39.575
1968-08-26,39.45
1968-08-27,39.599999999999994
1968-08-28,39.575
1968-08-29,39.825
1968-08-30,39.825
1968-09-03,39.965
1968-09-04,39.9
1968-09-05,40.025000000000006
1968-09-06,39.95
1968-09-09,40.025
1968-09-10,40.010000000000005
1968-09-11,40.05
1968-09-12,40.075
1968-09-13,40.16
1968-09-16,40.25
1968-09-17,40.425
1968-09-18,40.475
1968-09-19,40.485
1968-09-20,40.45
1968-09-23,40.41
1968-09-24,40.465
1968-09-25,40.435
1968-09-26,40.45
1968-09-27,40.209999999999994
1968-09-30,39.650000000000006
1968-10-01,39.525000000000006
1968-10-02,38.599999999999994
1968-10-03,39.085
1968-10-04,38.974999999999994
1968-10-07,39.785
1968-10-08,39.675
1968-10-09,39.05
1968-10-10,38.94
1968-10-11,39.235
1968-10-14,39.3
1968-10-15,39.150000000000006
1968-10-16,38.95
1968-10-17,39.235
1968-10-18,39.25
1968-10-21,39.05
1968-10-22,39.0
1968-10-23,39.185
1968-10-24,39.2
1968-10-25,39.275
1968-10-28,39.43
1968-10-29,39.55
1968-10-30,39.25
1968-10-31,39.1
1968-11-01,39.035
1968-11-04,39.225
1968-11-05,39.375
1968-11-06,39.510000000000005
1968-11-07,39.41
1968-11-08,39.4
1968-11-11,39.525
1968-11-12,39.7
1968-11-13,39.815
1968-11-14,39.825
1968-11-15,40.0
1968-11-18,39.975
1968-11-19,40.14
1968-11-20,40.65
1968-11-21,40.25
1968-11-22,40.1
1968-11-25,40.2
1968-11-26,39.89
1968-11-27,39.825
1968-11-28,39.825
1968-11-29,39.85
1968-12-02,40.025
1968-12-03,40.21
1968-12-04,40.635000000000005
1968-12-05,40.400000000000006
1968-12-06,40.425
1968-12-09,40.61
1968-12-10,40.644999999999996
1968-12-11,40.85
1968-12-12,41.14
1968-12-13,40.95
1968-12-16,40.974999999999994
1968-12-17,41.215
1968-12-18,41.864999999999995
1968-12-19,41.7
1968-12-20,41.675
1968-12-23,41.650000000000006
1968-12-24,
1968-12-27,41.725
1968-12-30,41.95
1968-12-31,41.925
1969-01-02,41.8
1969-01-03,41.974999999999994
1969-01-06,42.035
1969-01-07,42.1
1969-01-08,42.45
1969-01-09,42.489999999999995
1969-01-10,42.3
1969-01-13,42.05
1969-01-14,42.45
1969-01-15,42.725
1969-01-16,42.525000000000006
1969-01-17,42.05
1969-01-20,42.2
1969-01-21,42.44
1969-01-22,42.56
1969-01-23,42.125
1969-01-24,42.05
1969-01-27,42.2
1969-01-28,42.435
1969-01-29,42.475
1969-01-30,42.55
1969-01-31,42.545
1969-02-03,42.46
1969-02-04,42.489999999999995
1969-02-05,42.715
1969-02-06,42.62
1969-02-07,42.535
1969-02-10,42.5
1969-02-11,42.535
1969-02-12,42.55
1969-02-13,42.565
1969-02-14,42.5
1969-02-17,42.65
1969-02-18,42.599999999999994
1969-02-19,42.65
1969-02-20,42.61
1969-02-21,42.62
1969-02-24,42.7
1969-02-25,42.66
1969-02-26,42.7
1969-02-27,42.775
1969-02-28,42.735
1969-03-03,42.725
1969-03-04,42.8
1969-03-05,42.95
1969-03-06,43.25
1969-03-07,43.55
1969-03-10,43.79
1969-03-11,43.125
1969-03-12,42.935
1969-03-13,43.125
1969-03-14,43.0
1969-03-17,43.06
1969-03-18,42.925
1969-03-19,43.09
1969-03-20,43.16
1969-03-21,43.185
1969-03-24,43.3
1969-03-25,43.375
1969-03-26,43.385000000000005
1969-03-27,43.47
1969-03-28,43.265
1969-03-31,43.0
1969-04-01,43.125
1969-04-02,43.275
1969-04-03,43.365
1969-04-08,43.365
1969-04-09,43.39
1969-04-10,43.394999999999996
1969-04-11,43.375
1969-04-14,43.21
1969-04-15,42.94
1969-04-16,43.165
1969-04-17,43.215
1969-04-18,43.215
1969-04-21,43.175
1969-04-22,43.235
1969-04-23,43.375
1969-04-24,43.31
1969-04-25,43.275
1969-04-28,43.575
1969-04-29,43.525
1969-04-30,43.6
1969-05-01,43.6
1969-05-02,43.6
1969-05-05,43.489999999999995
1969-05-06,43.39
1969-05-07,43.54
1969-05-08,43.635
1969-05-09,43.56
1969-05-12,43.475
1969-05-13,43.5
1969-05-14,43.5
1969-05-15,43.5
1969-05-16,43.5
1969-05-19,43.489999999999995
1969-05-20,43.435
1969-05-21,43.435
1969-05-22,43.45
1969-05-23,43.5
1969-05-27,43.489999999999995
1969-05-28,43.364999999999995
1969-05-29,43.155
1969-05-30,43.114999999999995
1969-06-02,42.81
1969-06-03,42.22
1969-06-04,42.08
1969-06-05,41.35
1969-06-06,40.685
1969-06-09,40.975
1969-06-10,42.14
1969-06-11,41.599999999999994
1969-06-12,41.525
1969-06-13,41.575
1969-06-16,41.025
1969-06-17,41.475
1969-06-18,41.4
1969-06-19,41.45
1969-06-20,41.375
1969-06-23,41.265
1969-06-24,41.06
1969-06-25,40.9
1969-06-26,40.989999999999995
1969-06-27,41.1
1969-06-30,41.215
1969-07-01,41.125
1969-07-02,41.239999999999995
1969-07-03,41.53
1969-07-04,41.55
1969-07-07,41.805
1969-07-08,42.1
1969-07-09,41.864999999999995
1969-07-10,41.9
1969-07-11,41.894999999999996
1969-07-14,41.975
1969-07-15,42.0
1969-07-16,41.849999999999994
1969-07-17,41.98
1969-07-18,41.925
1969-07-21,42.0
1969-07-22,41.95
1969-07-23,41.84
1969-07-24,41.9
1969-07-25,41.85
1969-07-28,41.745000000000005
1969-07-29,41.495000000000005
1969-07-30,41.485
1969-07-31,41.42
1969-08-01,41.41
1969-08-04,41.349999999999994
1969-08-05,41.125
1969-08-06,41.05
1969-08-07,41.035
1969-08-08,41.15
1969-08-11,41.325
1969-08-12,41.150000000000006
1969-08-13,41.150000000000006
1969-08-14,41.285
1969-08-15,41.105000000000004
1969-08-18,41.16
1969-08-19,41.11
1969-08-20,41.1
1969-08-21,41.065
1969-08-22,41.05
1969-08-25,40.975
1969-08-26,40.89
1969-08-27,40.925
1969-08-28,40.95
1969-08-29,40.905
1969-09-02,40.76
1969-09-03,40.8
1969-09-04,40.905
1969-09-05,40.9
1969-09-08,40.905
1969-09-09,40.974999999999994
1969-09-10,40.965
1969-09-11,40.92
1969-09-12,41.0
1969-09-15,41.0
1969-09-16,41.0
1969-09-17,40.989999999999995
1969-09-18,40.865
1969-09-19,40.875
1969-09-22,40.88
1969-09-23,40.82
1969-09-24,40.845
1969-09-25,40.8
1969-09-26,40.75
1969-09-29,40.635
1969-09-30,40.66
1969-10-01,40.75
1969-10-02,40.825
1969-10-03,40.97
1969-10-06,40.825
1969-10-07,40.77
1969-10-08,40.745
1969-10-09,40.78
1969-10-10,40.739999999999995
1969-10-13,40.62
1969-10-14,40.685
1969-10-15,40.73
1969-10-16,40.635
1969-10-17,40.55
1969-10-20,40.415
1969-10-21,40.325
1969-10-22,40.15
1969-10-23,39.975
1969-10-24,40.05
1969-10-27,40.15
1969-10-28,40.084999999999994
1969-10-29,40.015
1969-10-30,39.95
1969-10-31,39.8
1969-11-03,39.565
1969-11-04,39.54
1969-11-05,39.45
1969-11-06,39.025
1969-11-07,38.685
1969-11-10,38.01
1969-11-11,38.275000000000006
1969-11-12,37.915
1969-11-13,37.8
1969-11-14,37.84
1969-11-17,37.864999999999995
1969-11-18,37.66
1969-11-19,36.849999999999994
1969-11-20,36.15
1969-11-21,36.11
1969-11-24,35.665
1969-11-25,35.400000000000006
1969-11-26,35.59
1969-11-27,35.584999999999994
1969-11-28,35.575
1969-12-01,35.535
1969-12-02,35.375
1969-12-03,35.365
1969-12-04,35.29
1969-12-05,35.215
1969-12-08,35.125
1969-12-09,35.0
1969-12-10,35.025
1969-12-11,35.185
1969-12-12,35.315
1969-12-15,35.16
1969-12-16,35.035
1969-12-17,35.09
1969-12-18,35.045
1969-12-19,35.0
1969-12-22,35.095
1969-12-23,35.114999999999995
1969-12-24,
1969-12-29,35.215
1969-12-30,35.215
1969-12-31,35.205
1970-01-02,35.099999999999994
1970-01-05,35.135000000000005
1970-01-06,35.084999999999994
1970-01-07,35.0
1970-01-08,34.965
1970-01-09,34.875
1970-01-12,34.98
1970-01-13,34.905
1970-01-14,34.870000000000005
1970-01-15,34.83
1970-01-16,34.760000000000005
