Date,LPPA_PALL_USD
1990-04-02,127.825
1990-04-03,128.425
1990-04-04,128.175
1990-04-05,128.075
1990-04-06,128.625
1990-04-09,128.5
1990-04-10,128.25
1990-04-11,128.375
1990-04-12,128.77499999999998
1990-04-17,128.575
1990-04-18,128.55
1990-04-19,128.5
1990-04-20,128.55
1990-04-23,127.75
1990-04-24,127.4
1990-04-25,124.075
1990-04-26,123.25
1990-04-27,122.975
1990-04-30,119.625
1990-05-01,118.425
1990-05-02,118.6
1990-05-03,118.625
1990-05-04,120.375
1990-05-08,119.425
1990-05-09,117.7
1990-05-10,118.25
1990-05-11,118.175
1990-05-14,118.75
1990-05-15,118.95
1990-05-16,119.0
1990-05-17,118.30000000000001
1990-05-18,118.625
1990-05-21,122.625
1990-05-22,120.6
1990-05-23,120.75
1990-05-24,120.95
1990-05-25,121.0
1990-05-29,121.5
1990-05-30,120.125
1990-05-31,119.525
1990-06-01,118.625
1990-06-04,118.25
1990-06-05,117.5
1990-06-06,118.95
1990-06-07,117.125
1990-06-08,117.25
1990-06-11,117.4
1990-06-12,117.45
1990-06-13,116.775
1990-06-14,114.75
1990-06-15,115.125
1990-06-18,114.625
1990-06-19,114.875
1990-06-20,113.425
1990-06-21,114.225
1990-06-22,113.925
1990-06-25,114.125
1990-06-26,112.425
1990-06-27,112.75
1990-06-28,113.125
1990-06-29,113.8
1990-07-02,116.775
1990-07-03,116.125
1990-07-04,117.375
1990-07-05,116.025
1990-07-06,118.05
1990-07-09,117.5
1990-07-10,116.5
1990-07-11,116.75
1990-07-12,116.375
1990-07-13,116.75
1990-07-16,117.575
1990-07-17,116.875
1990-07-18,116.45
1990-07-19,116.975
1990-07-20,117.875
1990-07-23,118.225
1990-07-24,118.65
1990-07-25,117.3
1990-07-26,117.25
1990-07-27,117.125
1990-07-30,116.675
1990-07-31,116.625
1990-08-01,116.3
1990-08-02,116.625
1990-08-03,114.75
1990-08-06,114.375
1990-08-07,114.625
1990-08-08,114.625
1990-08-09,114.875
1990-08-10,115.125
1990-08-13,117.45
1990-08-14,118.5
1990-08-15,117.25
1990-08-16,116.8
1990-08-17,118.5
1990-08-20,117.875
1990-08-21,117.75
1990-08-22,117.5
1990-08-23,117.625
1990-08-24,115.925
1990-08-28,110.875
1990-08-29,112.375
1990-08-30,111.875
1990-08-31,111.75
1990-09-03,111.925
1990-09-04,111.65
1990-09-05,111.25
1990-09-06,111.2
1990-09-07,107.55
1990-09-10,106.125
1990-09-11,104.575
1990-09-12,105.0
1990-09-13,105.25
1990-09-14,105.55000000000001
1990-09-17,105.5
1990-09-18,105.75
1990-09-19,105.7
1990-09-20,105.75
1990-09-21,102.125
1990-09-24,101.125
1990-09-25,102.775
1990-09-26,100.825
1990-09-27,98.25
1990-09-28,96.875
1990-10-01,97.0
1990-10-02,98.8
1990-10-03,99.225
1990-10-04,98.625
1990-10-05,100.125
1990-10-08,100.3
1990-10-09,100.75
1990-10-10,99.875
1990-10-11,96.7
1990-10-12,94.0
1990-10-15,92.875
1990-10-16,88.675
1990-10-17,88.5
1990-10-18,90.125
1990-10-19,92.5
1990-10-22,93.125
1990-10-23,94.125
1990-10-24,95.075
1990-10-25,94.675
1990-10-26,94.55
1990-10-29,94.65
1990-10-30,95.625
1990-10-31,96.625
1990-11-01,95.5
1990-11-02,95.0
1990-11-05,93.925
1990-11-06,94.75
1990-11-07,94.475
1990-11-08,94.25
1990-11-09,93.175
1990-11-12,92.625
1990-11-13,94.125
1990-11-14,94.05000000000001
1990-11-15,92.975
1990-11-16,93.625
1990-11-19,93.125
1990-11-20,92.875
1990-11-21,92.875
1990-11-22,93.075
1990-11-23,94.0
1990-11-26,93.8
1990-11-27,93.9
1990-11-28,93.875
1990-11-29,93.925
1990-11-30,93.125
1990-12-03,92.125
1990-12-04,93.0
1990-12-05,93.05
1990-12-06,93.35
1990-12-07,92.92500000000001
1990-12-10,92.825
1990-12-11,92.925
1990-12-12,92.375
1990-12-13,89.0
1990-12-14,87.8
1990-12-17,87.55
